Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2024-08-19,AAPL,225.72000122070312,225.99000549316406,223.0399932861328,225.88999938964844,224.8435821533203,40687800.0
2024-08-19,ABBV,193.39999389648438,197.17999267578125,193.35000610351562,196.8699951171875,190.0723419189453,4309300.0
2024-08-19,ABT,111.0,112.25,110.83999633789062,111.9000015258789,109.7900161743164,3495800.0
2024-08-19,ACN,327.55999755859375,330.42999267578125,327.0,329.44000244140625,323.4860534667969,1678200.0
2024-08-19,ADBE,550.5900268554688,563.77001953125,550.5900268554688,563.1199951171875,563.1199951171875,1423300.0
2024-08-19,AIG,73.37999725341797,74.52999877929688,73.2699966430664,74.43000030517578,72.87798309326172,2307800.0
2024-08-19,AMD,148.42999267578125,155.3699951171875,147.72000122070312,155.27999877929688,155.27999877929688,60766900.0
2024-08-19,AMGN,321.4599914550781,328.17999267578125,321.4100036621094,327.9700012207031,319.93310546875,1214200.0
2024-08-19,AMT,219.4199981689453,220.89999389648438,219.0399932861328,219.66000366210938,212.71510314941406,1261900.0
2024-08-19,AMZN,177.63999938964844,178.3000030517578,176.16000366210938,178.22000122070312,178.22000122070312,31129800.0
2024-08-19,AVGO,164.86000061035156,167.8300018310547,160.4199981689453,167.7100067138672,165.82028198242188,20441700.0
2024-08-19,AXP,252.0,254.11000061035156,251.83999633789062,254.0500030517578,251.32257080078125,1653400.0
2024-08-19,BA,180.0399932861328,180.6999969482422,177.6300048828125,179.63999938964844,179.63999938964844,3894200.0
2024-08-19,BAC,39.47999954223633,39.7400016784668,39.45000076293945,39.66999816894531,38.721031188964844,27268900.0
2024-08-19,BK,65.63999938964844,65.93000030517578,65.3499984741211,65.73999786376953,64.23661804199219,2309600.0
2024-08-19,BKNG,3616.52001953125,3705.7900390625,3610.43994140625,3702.010009765625,3673.45361328125,198100.0
2024-08-19,BLK,873.5900268554688,877.02001953125,866.3099975585938,870.2100219726562,851.6439819335938,456000.0
2024-08-19,BMY,49.380001068115234,49.9900016784668,49.20000076293945,49.29999923706055,47.08391571044922,9067400.0
2024-08-19,BRK-B,446.010009765625,450.45001220703125,445.7300109863281,448.7699890136719,448.7699890136719,3385300.0
2024-08-19,C,61.5,62.04999923706055,61.349998474121094,62.029998779296875,60.18171310424805,8882500.0
2024-08-19,CAT,343.67999267578125,346.1000061035156,343.29998779296875,344.6499938964844,339.27935791015625,2252600.0
2024-08-19,CHTR,355.4599914550781,359.9200134277344,353.3500061035156,355.05999755859375,355.05999755859375,830000.0
